IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.13.8,,,,,1
192.168.13.9,,,,,1
192.168.13.10,,,,,1
192.168.13.11,,,,,1
192.168.13.12,,,,,1
192.168.13.13,,,,,1
192.168.13.14,,,,,1
192.168.13.15,,,,,1
192.168.13.16,,,,,1
192.168.13.17,,,,,1
192.168.13.18,,,,,1
192.168.13.19,,,,,1
192.168.13.20,,,,,1
192.168.13.21,,,,,1
192.168.13.22,,,,,1
192.168.13.23,,,,,1
192.168.13.24,,,,,1
192.168.13.25,,,,,1
192.168.13.26,,,,,1
192.168.13.27,,,,,1
192.168.13.28,,,,,1
192.168.13.29,,,,,1
192.168.13.30,,,,,1
192.168.13.31,,,,,1
192.168.13.32,,,,,1
192.168.13.33,,,,,1
192.168.13.34,,,,,1
192.168.13.35,,,,,1
192.168.13.36,,,,,1
192.168.13.37,,,,,1
192.168.13.38,,,,,1
192.168.13.39,,,,,1
192.168.13.40,,,,,1
192.168.13.41,,,,,1
192.168.13.42,,,,,1
192.168.13.43,,,,,1
192.168.13.44,,,,,1
192.168.13.45,,,,,1
192.168.13.46,,,,,1
192.168.13.47,,,,,1
192.168.13.48,,,,,1
192.168.13.49,,,,,1
192.168.13.50,,,,,1
192.168.13.51,,,,,1
192.168.13.52,,,,,1
192.168.13.53,,,,,1
192.168.13.54,,,,,1
192.168.13.55,,,,,1
192.168.13.56,,,,,1
192.168.13.57,,,,,1
192.168.13.58,,,,,1
192.168.13.59,,,,,1
192.168.13.60,,,,,1
192.168.13.61,,,,,1
192.168.13.62,,,,,1
192.168.13.63,,,,,1
192.168.13.64,,,,,1
192.168.13.65,,,,,1
192.168.13.66,,,,,1
192.168.13.67,,,,,1
192.168.13.68,,,,,1
192.168.13.69,,,,,1
192.168.13.70,,,,,1
192.168.13.71,,,,,1
192.168.13.72,,,,,1
192.168.13.73,,,,,1
192.168.13.74,,,,,1
192.168.13.75,,,,,1
192.168.13.76,,,,,1
192.168.13.77,,,,,1
192.168.13.78,,,,,1
192.168.13.79,,,,,1
192.168.13.80,,,,,1
192.168.13.81,,,,,1
192.168.12.2,,,,,1
192.168.12.3,,,,,1
192.168.12.4,,,,,1
192.168.12.5,,,,,1
192.168.12.6,,,,,1
192.168.12.7,,,,,1
192.168.12.8,,,,,1
192.168.12.9,,,,,1
192.168.12.10,,,,,1
192.168.12.11,,,,,1
192.168.12.12,,,,,1
192.168.12.13,,,,,1
192.168.12.14,,,,,1
192.168.12.15,,,,,1
192.168.12.16,,,,,1
192.168.12.17,,,,,1
192.168.12.18,,,,,1
192.168.12.19,,,,,1
192.168.12.20,,,,,1
192.168.12.21,,,,,1
192.168.12.22,,,,,1
192.168.12.23,,,,,1
192.168.12.24,,,,,1
192.168.12.25,,,,,1
192.168.12.26,,,,,1
192.168.12.27,,,,,1
192.168.12.28,,,,,1
192.168.12.29,,,,,1
192.168.12.30,,,,,1
192.168.12.31,,,,,1
192.168.12.32,,,,,1
192.168.12.33,,,,,1
192.168.12.34,,,,,1
192.168.12.35,,,,,1
192.168.12.36,,,,,1
192.168.12.37,,,,,1
192.168.12.38,,,,,1
192.168.12.39,,,,,1
192.168.12.40,,,,,1
192.168.12.41,,,,,1
192.168.12.42,,,,,1
192.168.12.43,,,,,1
192.168.12.44,,,,,1
192.168.12.45,,,,,1
192.168.12.46,,,,,1
192.168.12.47,,,,,1
