IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.14.57,M21,,,,1
192.168.14.58,M21,,,,1
192.168.14.59,M21,,,,1
192.168.14.60,M21,,,,1
192.168.14.61,M21,,,,1
192.168.14.62,M21,,,,1
192.168.14.63,M21,,,,1
192.168.14.64,M21,,,,1
192.168.14.65,M21,,,,1
192.168.14.66,M21,,,,1
192.168.14.67,M21,,,,1
192.168.14.68,M21,,,,1
192.168.14.69,M21,,,,1
192.168.14.70,M21,,,,1
192.168.14.71,M21,,,,1
192.168.14.72,M21,,,,1
192.168.14.73,M21,,,,1
192.168.14.74,M21,,,,1
192.168.14.75,M21,,,,1
192.168.14.76,M21,,,,1
192.168.14.77,M21,,,,1
192.168.14.78,M21,,,,1
192.168.14.79,M21,,,,1
192.168.14.80,M21,,,,1
192.168.14.81,M21,,,,1
192.168.14.82,M21,,,,1
192.168.14.83,M21,,,,1
192.168.14.84,M21,,,,1
192.168.14.85,M21,,,,1
192.168.14.86,M21,,,,1
192.168.14.87,M21,,,,1
192.168.14.88,M21,,,,1
192.168.14.89,M21,,,,1
192.168.14.90,M21,,,,1
192.168.14.91,M21,,,,1
192.168.14.92,M21,,,,1
192.168.14.93,M21,,,,1
192.168.14.94,M21,,,,1
192.168.14.95,M21,,,,1
192.168.14.96,M21,,,,1
192.168.14.97,M21,,,,1
192.168.14.98,M21,,,,1
192.168.14.99,M21,,,,1
192.168.14.100,M21,,,,1
192.168.14.101,M21,,,,1
192.168.15.2,M21,,,,1
192.168.15.3,M21,,,,1
192.168.15.4,M21,,,,1
192.168.15.5,M21,,,,1
192.168.15.6,M21,,,,1
192.168.15.7,M21,,,,1
192.168.15.8,M21,,,,1
192.168.15.9,M21,,,,1
192.168.15.10,M21,,,,1
192.168.15.11,M21,,,,1
192.168.15.12,M21,,,,1
192.168.15.13,M21,,,,1
192.168.15.14,M21,,,,1
192.168.15.15,M21,,,,1
192.168.15.16,M21,,,,1
192.168.15.17,M21,,,,1
192.168.15.18,M21,,,,1
192.168.15.19,M21,,,,1
192.168.15.20,M21,,,,1
192.168.15.21,M21,,,,1
192.168.15.22,M21,,,,1
192.168.15.23,M21,,,,1
192.168.15.24,M21,,,,1
192.168.15.25,M21,,,,1
192.168.15.26,M21,,,,1
192.168.15.27,M21,,,,1
192.168.15.28,M21,,,,1
192.168.15.29,M21,,,,1
192.168.15.30,M21,,,,1
192.168.15.31,M21,,,,1
192.168.15.32,M21,,,,1
192.168.15.33,M21,,,,1
192.168.15.34,M21,,,,1
192.168.15.35,M21,,,,1
192.168.15.36,M21,,,,1
192.168.15.37,M21,,,,1
192.168.15.38,M21,,,,1
192.168.15.39,M21,,,,1
192.168.15.40,M21,,,,1
192.168.15.41,M21,,,,1
192.168.15.42,M21,,,,1
192.168.15.43,M21,,,,1
192.168.15.44,M21,,,,1
192.168.15.45,M21,,,,1
192.168.15.46,M21,,,,1
192.168.15.47,M21,,,,1
192.168.15.48,M21,,,,1
192.168.15.49,M21,,,,1
192.168.15.50,M21,,,,1
192.168.15.51,M21,,,,1
192.168.15.52,M21,,,,1
192.168.15.53,M21,,,,1
192.168.15.54,M21,,,,1
192.168.15.55,M21,,,,1
192.168.15.56,M21,,,,1
192.168.15.57,M21,,,,1
192.168.15.58,M21,,,,1
192.168.15.59,M21,,,,1
192.168.15.60,M21,,,,1
192.168.15.61,M21,,,,1
192.168.15.62,M21,,,,1
192.168.15.63,M21,,,,1
192.168.15.64,M21,,,,1
192.168.15.65,M21,,,,1
192.168.15.66,M21,,,,1
192.168.15.67,M21,,,,1
192.168.15.68,M21,,,,1
192.168.15.69,M21,,,,1
192.168.15.70,M21,,,,1
192.168.15.71,M21,,,,1
192.168.15.72,M21,,,,1
192.168.15.73,M21,,,,1
192.168.15.74,M21,,,,1
192.168.15.75,M21,,,,1
192.168.15.76,M21,,,,1
192.168.15.77,M21,,,,1
192.168.15.78,M21,,,,1
192.168.15.79,M21,,,,1
192.168.15.80,M21,,,,1
192.168.15.81,M21,,,,1
192.168.15.82,M21,,,,1
192.168.15.83,M21,,,,1
192.168.15.84,M21,,,,1
192.168.15.85,M21,,,,1
192.168.15.86,M21,,,,1
192.168.15.87,M21,,,,1
192.168.15.88,M21,,,,1
192.168.15.89,M21,,,,1
192.168.15.90,M21,,,,1
192.168.15.91,M21,,,,1
192.168.15.92,M21,,,,1
192.168.15.93,M21,,,,1
192.168.15.94,M21,,,,1
192.168.15.95,M21,,,,1
192.168.15.96,M21,,,,1
192.168.15.97,M21,,,,1
192.168.15.98,M21,,,,1
192.168.15.99,M21,,,,1
192.168.15.100,M21,,,,1
192.168.15.101,M21,,,,1
192.168.16.2,M21,,,,1
192.168.16.3,M21,,,,1
192.168.16.4,M21,,,,1
192.168.16.5,M21,,,,1
192.168.16.6,M21,,,,1
192.168.16.7,M21,,,,1
192.168.16.8,M21,,,,1
192.168.16.9,M21,,,,1
192.168.16.10,M21,,,,1
192.168.16.11,M21,,,,1
192.168.16.12,M21,,,,1
192.168.16.13,M21,,,,1
192.168.16.14,M21,,,,1
192.168.16.15,M21,,,,1
192.168.16.16,M21,,,,1
192.168.16.17,M21,,,,1
192.168.16.18,M21,,,,1
192.168.16.19,M21,,,,1
192.168.16.20,M21,,,,1
192.168.16.21,M21,,,,1
192.168.16.22,M21,,,,1
192.168.16.23,M21,,,,1
192.168.16.24,M21,,,,1
192.168.16.25,M21,,,,1
192.168.16.26,M21,,,,1
192.168.16.27,M21,,,,1
192.168.16.28,M21,,,,1
192.168.16.29,M21,,,,1
192.168.16.30,M21,,,,1
192.168.16.31,M21,,,,1
192.168.16.32,M21,,,,1
192.168.16.33,M21,,,,1
192.168.16.34,M21,,,,1
192.168.16.35,M21,,,,1
192.168.16.36,M21,,,,1
192.168.16.37,M21,,,,1
192.168.16.38,M21,,,,1
192.168.16.39,M21,,,,1
192.168.16.40,M21,,,,1
192.168.16.41,M21,,,,1
192.168.16.42,M21,,,,1
192.168.16.43,M21,,,,1
192.168.16.44,M21,,,,1
192.168.16.45,M21,,,,1
192.168.16.46,M21,,,,1
192.168.16.47,M21,,,,1
192.168.16.48,M21,,,,1
192.168.16.49,M21,,,,1
